id,preferred app,app use frequency,experience on app,app inaccuracy,app reliable,stats experience,vis type,question type,guess,guess-alone,true precipitation amount,true pop,confidence,follow up text,effort bar,effort dot,effort hop,effort text,rank1,rank2,rank3,rank4,feedback
-M_1ecelgtcgmASbnSYz,Apple Weather,Daily,Favorable,Not very often,Somewhat reliable,None,Quantile Dot Plot,alone,No,No,0.225,0.125,Neutral,i got to do this 20 times??????,Favorable,Very unfavorable,Very unfavorable,Very favorable,Text,Bar,QDP,Hop,why cant i pause the animation
-M_1ecelgtcgmASbnSYz,Apple Weather,Daily,Favorable,Not very often,Somewhat reliable,None,Hypothetical Outcome Plot,probability,50,50,0.25,0.95,So Unsure,,Favorable,Very unfavorable,Very unfavorable,Very favorable,Text,Bar,QDP,Hop,why cant i pause the animation
-M_1ecelgtcgmASbnSYz,Apple Weather,Daily,Favorable,Not very often,Somewhat reliable,None,Text,alone,No,No,0.775,0.25,Very Confident,thank god the animations are gone,Favorable,Very unfavorable,Very unfavorable,Very favorable,Text,Bar,QDP,Hop,why cant i pause the animation
-M_1ecelgtcgmASbnSYz,Apple Weather,Daily,Favorable,Not very often,Somewhat reliable,None,Hypothetical Outcome Plot,friend,No,No,0.3,0.125,So Unsure,,Favorable,Very unfavorable,Very unfavorable,Very favorable,Text,Bar,QDP,Hop,why cant i pause the animation
-M_1ecelgtcgmASbnSYz,Apple Weather,Daily,Favorable,Not very often,Somewhat reliable,None,Text,amount,5,5,0.2,0.65,Kind of Confident,,Favorable,Very unfavorable,Very unfavorable,Very favorable,Text,Bar,QDP,Hop,why cant i pause the animation
-M_1ecelgtcgmASbnSYz,Apple Weather,Daily,Favorable,Not very often,Somewhat reliable,None,Hypothetical Outcome Plot,amount,5,5,0.05,0.15,So Unsure,,Favorable,Very unfavorable,Very unfavorable,Very favorable,Text,Bar,QDP,Hop,why cant i pause the animation
-M_1ecelgtcgmASbnSYz,Apple Weather,Daily,Favorable,Not very often,Somewhat reliable,None,Text,probability,50,50,0.1,0.6,Very Confident,,Favorable,Very unfavorable,Very unfavorable,Very favorable,Text,Bar,QDP,Hop,why cant i pause the animation
-M_1ecelgtcgmASbnSYz,Apple Weather,Daily,Favorable,Not very often,Somewhat reliable,None,Quantile Dot Plot,event,Yes,Yes,0.522916667,0.214583333,Very Confident,,Favorable,Very unfavorable,Very unfavorable,Very favorable,Text,Bar,QDP,Hop,why cant i pause the animation
-M_1ecelgtcgmASbnSYz,Apple Weather,Daily,Favorable,Not very often,Somewhat reliable,None,Hypothetical Outcome Plot,alone,No,No,0.6375,0.1,Very Confident,,Favorable,Very unfavorable,Very unfavorable,Very favorable,Text,Bar,QDP,Hop,why cant i pause the animation
-M_1ecelgtcgmASbnSYz,Apple Weather,Daily,Favorable,Not very often,Somewhat reliable,None,Quantile Dot Plot,probability,50,50,0.05,0.15,Very unsure,,Favorable,Very unfavorable,Very unfavorable,Very favorable,Text,Bar,QDP,Hop,why cant i pause the animation
-M_1ecelgtcgmASbnSYz,Apple Weather,Daily,Favorable,Not very often,Somewhat reliable,None,Static Bar Chart,amount,0.3,0.3,0.3,0.75,Very Confident,,Favorable,Very unfavorable,Very unfavorable,Very favorable,Text,Bar,QDP,Hop,why cant i pause the animation
-M_1ecelgtcgmASbnSYz,Apple Weather,Daily,Favorable,Not very often,Somewhat reliable,None,Static Bar Chart,probability,40,40,0.4,1,Kind of Confident,,Favorable,Very unfavorable,Very unfavorable,Very favorable,Text,Bar,QDP,Hop,why cant i pause the animation
-M_1ecelgtcgmASbnSYz,Apple Weather,Daily,Favorable,Not very often,Somewhat reliable,None,Static Bar Chart,alone,Yes,Yes,0.7125,0.1875,Very Confident,,Favorable,Very unfavorable,Very unfavorable,Very favorable,Text,Bar,QDP,Hop,why cant i pause the animation
-M_1ecelgtcgmASbnSYz,Apple Weather,Daily,Favorable,Not very often,Somewhat reliable,None,Static Bar Chart,friend,No,No,0.1,0.0625,Very Confident,,Favorable,Very unfavorable,Very unfavorable,Very favorable,Text,Bar,QDP,Hop,why cant i pause the animation
-M_1ecelgtcgmASbnSYz,Apple Weather,Daily,Favorable,Not very often,Somewhat reliable,None,Hypothetical Outcome Plot,event,No,No,0.458333333,0.170833333,So Unsure,,Favorable,Very unfavorable,Very unfavorable,Very favorable,Text,Bar,QDP,Hop,why cant i pause the animation
-M_1ecelgtcgmASbnSYz,Apple Weather,Daily,Favorable,Not very often,Somewhat reliable,None,Static Bar Chart,event,No,No,0.372916667,0.1375,Very Confident,,Favorable,Very unfavorable,Very unfavorable,Very favorable,Text,Bar,QDP,Hop,why cant i pause the animation
-M_1ecelgtcgmASbnSYz,Apple Weather,Daily,Favorable,Not very often,Somewhat reliable,None,Text,friend,Yes,Yes,0.9875,0.3,Very Confident,,Favorable,Very unfavorable,Very unfavorable,Very favorable,Text,Bar,QDP,Hop,why cant i pause the animation
-M_1ecelgtcgmASbnSYz,Apple Weather,Daily,Favorable,Not very often,Somewhat reliable,None,Quantile Dot Plot,friend,,,0.6375,0.1625,So Unsure,,Favorable,Very unfavorable,Very unfavorable,Very favorable,Text,Bar,QDP,Hop,why cant i pause the animation
-M_1ecelgtcgmASbnSYz,Apple Weather,Daily,Favorable,Not very often,Somewhat reliable,None,Text,event,Yes,Yes,0.59375,0.2375,Very Confident,,Favorable,Very unfavorable,Very unfavorable,Very favorable,Text,Bar,QDP,Hop,why cant i pause the animation
-M_1ecelgtcgmASbnSYz,Apple Weather,Daily,Favorable,Not very often,Somewhat reliable,None,Quantile Dot Plot,amount,0.2,0.2,0.1,0.1,Neutral,,Favorable,Very unfavorable,Very unfavorable,Very favorable,Text,Bar,QDP,Hop,why cant i pause the animation
-M_1fy8MmG0wGaXQP-6f,Apple Weather,Almost daily,Very favorable,Not very often,Somewhat reliable,College Stats Courses,Quantile Dot Plot,friend,No,No,0.025,0.025,Very Confident,0% chance at 3pm,Unfavorable,Neutral,Unfavorable,Neutral,Text,QDP,Hop,Bar,
-M_1fy8MmG0wGaXQP-6f,Apple Weather,Almost daily,Very favorable,Not very often,Somewhat reliable,College Stats Courses,Text,alone,Yes,Yes,0.325,0.1875,Kind of Confident,It seems like the rain chance is very low,Unfavorable,Neutral,Unfavorable,Neutral,Text,QDP,Hop,Bar,
