id,preferred app,app use frequency,experience on app,app inaccuracy,app reliable,stats experience,vis type,question type,guess,true precipitation amount,true pop,confidence,follow up text,effort bar,effort dot,effort hop,effort text,rank1,rank2,rank3,rank4,feedback
-M_1ecelgtcgmASbnSYz,Apple Weather,Daily,Favorable,Not very often,Somewhat reliable,Nop,Quantile Dot Plot,alone,No,0.225,0.125,Neutral,i got to do this 20 times??????,Favorable,Very unfavorable,Very unfavorable,Very favorable,Text,Bar,QDP,Hop,why cant i pause the animation
-M_1ecelgtcgmASbnSYz,Apple Weather,Daily,Favorable,Not very often,Somewhat reliable,Nop,Hypothetical Outcome Plot,probability,50,0.25,0.95,So unsure,,Favorable,Very unfavorable,Very unfavorable,Very favorable,Text,Bar,QDP,Hop,why cant i pause the animation
-M_1ecelgtcgmASbnSYz,Apple Weather,Daily,Favorable,Not very often,Somewhat reliable,Nop,Text,alone,No,0.7749999999999999,0.25,Very Confident,thank god the animations are gone,Favorable,Very unfavorable,Very unfavorable,Very favorable,Text,Bar,QDP,Hop,why cant i pause the animation
-M_1ecelgtcgmASbnSYz,Apple Weather,Daily,Favorable,Not very often,Somewhat reliable,Nop,Hypothetical Outcome Plot,friend,No,0.3,0.125,So unsure,,Favorable,Very unfavorable,Very unfavorable,Very favorable,Text,Bar,QDP,Hop,why cant i pause the animation
-M_1ecelgtcgmASbnSYz,Apple Weather,Daily,Favorable,Not very often,Somewhat reliable,Nop,Text,amount,5,0.2,0.65,Kind of confident,,Favorable,Very unfavorable,Very unfavorable,Very favorable,Text,Bar,QDP,Hop,why cant i pause the animation
-M_1ecelgtcgmASbnSYz,Apple Weather,Daily,Favorable,Not very often,Somewhat reliable,Nop,Hypothetical Outcome Plot,amount,5,0.05,0.15,So unsure,,Favorable,Very unfavorable,Very unfavorable,Very favorable,Text,Bar,QDP,Hop,why cant i pause the animation
-M_1ecelgtcgmASbnSYz,Apple Weather,Daily,Favorable,Not very often,Somewhat reliable,Nop,Text,probability,50,0.1,0.6,Very Confident,,Favorable,Very unfavorable,Very unfavorable,Very favorable,Text,Bar,QDP,Hop,why cant i pause the animation
-M_1ecelgtcgmASbnSYz,Apple Weather,Daily,Favorable,Not very often,Somewhat reliable,Nop,Quantile Dot Plot,event,Yes,0.5229166666666667,0.21458333333333335,Very Confident,,Favorable,Very unfavorable,Very unfavorable,Very favorable,Text,Bar,QDP,Hop,why cant i pause the animation
-M_1ecelgtcgmASbnSYz,Apple Weather,Daily,Favorable,Not very often,Somewhat reliable,Nop,Hypothetical Outcome Plot,alone,No,0.6375,0.09999999999999999,Very Confident,,Favorable,Very unfavorable,Very unfavorable,Very favorable,Text,Bar,QDP,Hop,why cant i pause the animation
-M_1ecelgtcgmASbnSYz,Apple Weather,Daily,Favorable,Not very often,Somewhat reliable,Nop,Quantile Dot Plot,probability,50,0.05,0.15,Very unsure,,Favorable,Very unfavorable,Very unfavorable,Very favorable,Text,Bar,QDP,Hop,why cant i pause the animation
-M_1ecelgtcgmASbnSYz,Apple Weather,Daily,Favorable,Not very often,Somewhat reliable,Nop,Static Bar Chart,amount,0.3,0.3,0.75,Very Confident,,Favorable,Very unfavorable,Very unfavorable,Very favorable,Text,Bar,QDP,Hop,why cant i pause the animation
-M_1ecelgtcgmASbnSYz,Apple Weather,Daily,Favorable,Not very often,Somewhat reliable,Nop,Static Bar Chart,probability,40,0.4,1,Kind of confident,,Favorable,Very unfavorable,Very unfavorable,Very favorable,Text,Bar,QDP,Hop,why cant i pause the animation
-M_1ecelgtcgmASbnSYz,Apple Weather,Daily,Favorable,Not very often,Somewhat reliable,Nop,Static Bar Chart,alone,Yes,0.7124999999999999,0.1875,Very Confident,,Favorable,Very unfavorable,Very unfavorable,Very favorable,Text,Bar,QDP,Hop,why cant i pause the animation
-M_1ecelgtcgmASbnSYz,Apple Weather,Daily,Favorable,Not very often,Somewhat reliable,Nop,Static Bar Chart,friend,No,0.1,0.0625,Very Confident,,Favorable,Very unfavorable,Very unfavorable,Very favorable,Text,Bar,QDP,Hop,why cant i pause the animation
-M_1ecelgtcgmASbnSYz,Apple Weather,Daily,Favorable,Not very often,Somewhat reliable,Nop,Hypothetical Outcome Plot,event,No,0.4583333333333333,0.1708333333333333,So unsure,,Favorable,Very unfavorable,Very unfavorable,Very favorable,Text,Bar,QDP,Hop,why cant i pause the animation
